id,title,journal,achievement_level,talent_pool_use,year,doi,paper_url,url,source,source_api_url,first_author_name,corresponding_author_names_json,authors_json,affiliations_json,created_at,updated_at
238,A Prosocial Perspective on Advice Seeking and Networking: How Focusing on What Advice Givers Can Gain Motivates Advice Seekers to Reach Out More,ACADEMY OF MANAGEMENT JOURNAL,A+,强入库论文锚点,2026,10.5465/amj.2024.0635,https://doi.org/10.5465/amj.2024.0635,https://doi.org/10.5465/amj.2024.0635,"openalex,crossref",https://doi.org/10.5465/amj.2024.0635,Anne Burmeister,"[""Anne Burmeister""]","[{""name"": ""Anne Burmeister"", ""orcid"": ""https://orcid.org/0000-0003-3980-7947"", ""position"": ""first"", ""is_corresponding"": false, ""affiliations"": [""University of Cologne""]}, {""name"": ""Daniel Z. Levin"", ""orcid"": ""https://orcid.org/0000-0003-2230-2520"", ""position"": """", ""is_corresponding"": false, ""affiliations"": [""Rutgers University""]}]","[""University of Cologne"", ""Rutgers University""]",2026-05-22 07:29:01,2026-05-23 03:39:41
1062,Algorithmic Facial Expression Analysis: A Novel Methodology to Advance Management Research on Emotions,ACADEMY OF MANAGEMENT JOURNAL,A+,强入库论文锚点,2026,10.5465/amj.2024.0826,https://doi.org/10.5465/amj.2024.0826,https://doi.org/10.5465/amj.2024.0826,"openalex,crossref",https://doi.org/10.5465/amj.2024.0826,Silvia Stroe,"[""Silvia Stroe""]","[{""name"": ""Silvia Stroe"", ""orcid"": """", ""position"": ""first"", ""is_corresponding"": false, ""affiliations"": [""University of St. Gallen""]}, {""name"": ""Charlotta Sirén"", ""orcid"": ""https://orcid.org/0000-0002-6984-4952"", ""position"": """", ""is_corresponding"": false, ""affiliations"": [""University of St. Gallen""]}, {""name"": ""Vivianna Fang He"", ""orcid"": """", ""position"": """", ""is_corresponding"": false, ""affiliations"": [""University College London""]}, {""name"": ""Barbara Burkhard"", ""orcid"": ""https://orcid.org/0000-0002-0718-3714"", ""position"": """", ""is_corresponding"": false, ""affiliations"": [""Independent Researcher""]}, {""name"": ""Vangelis Souitaris"", ""orcid"": ""https://orcid.org/0000-0002-7889-0010"", ""position"": """", ""is_corresponding"": false, ""affiliations"": [""City St George’s, University of London and University of St. Gallen""]}]","[""University of St. Gallen"", ""University College London"", ""Independent Researcher"", ""City St George’s, University of London and University of St. Gallen""]",2026-05-23 03:39:41,2026-05-23 03:39:41
1138,Anticipatory Impression Management for Potential Adverse Events: Positive Framing in the Wake of Short Seller Attacks on a Competitor,ACADEMY OF MANAGEMENT JOURNAL,A+,强入库论文锚点,2026,10.5465/amj.2023.0914,https://doi.org/10.5465/amj.2023.0914,https://doi.org/10.5465/amj.2023.0914,crossref,https://doi.org/10.5465/amj.2023.0914,Ruixiang Song,[],"[{""name"": ""Ruixiang Song"", ""orcid"": """", ""position"": ""first"", ""is_corresponding"": false, ""affiliations"": [""University of Tennessee""]}, {""name"": ""Brian L. Connelly"", ""orcid"": ""https://orcid.org/0000-0003-1804-8654"", ""position"": """", ""is_corresponding"": false, ""affiliations"": [""Auburn University""]}, {""name"": ""David J. Ketchen"", ""orcid"": """", ""position"": """", ""is_corresponding"": false, ""affiliations"": [""Auburn University""]}, {""name"": ""Wei Shi"", ""orcid"": """", ""position"": """", ""is_corresponding"": false, ""affiliations"": [""University of Miami""]}]","[""University of Tennessee"", ""Auburn University"", ""University of Miami""]",2026-05-23 03:39:41,2026-05-23 03:39:41
1089,Are You Looking at Me? Orchestrating Voyeuristic Events to Add Value for Those Being Observed,ACADEMY OF MANAGEMENT JOURNAL,A+,强入库论文锚点,2026,10.5465/amj.2024.1385,https://doi.org/10.5465/amj.2024.1385,https://doi.org/10.5465/amj.2024.1385,"openalex,crossref",https://doi.org/10.5465/amj.2024.1385,Dean A. Shepherd,"[""Dean A. Shepherd""]","[{""name"": ""Dean A. Shepherd"", ""orcid"": ""https://orcid.org/0000-0003-4269-1826"", ""position"": ""first"", ""is_corresponding"": false, ""affiliations"": [""University of Notre Dame""]}, {""name"": ""Vinit Parida"", ""orcid"": """", ""position"": """", ""is_corresponding"": false, ""affiliations"": [""Luleå University of Technology and University of Vaasa""]}, {""name"": ""Sarah Chase"", ""orcid"": """", ""position"": """", ""is_corresponding"": false, ""affiliations"": [""University of Notre Dame""]}, {""name"": ""Joakim Wincent"", ""orcid"": """", ""position"": """", ""is_corresponding"": false, ""affiliations"": [""Hanken School of Economics and University of St. Gallen""]}]","[""University of Notre Dame"", ""Luleå University of Technology and University of Vaasa"", ""Hanken School of Economics and University of St. Gallen""]",2026-05-23 03:39:41,2026-05-23 03:39:41
1063,Artificial Intelligence and Responsible Research at AMJ,ACADEMY OF MANAGEMENT JOURNAL,A+,强入库论文锚点,2026,10.5465/amj.2026.4002,https://doi.org/10.5465/amj.2026.4002,https://doi.org/10.5465/amj.2026.4002,"openalex,crossref",https://doi.org/10.5465/amj.2026.4002,Quinetta Roberson,"[""Quinetta M. Roberson""]","[{""name"": ""Quinetta Roberson"", ""orcid"": """", ""position"": ""first"", ""is_corresponding"": false, ""affiliations"": [""Michigan State University""]}]","[""Michigan State University""]",2026-05-23 03:39:41,2026-05-23 03:39:41
1069,Bricolage as Enacted Sensemaking in Emergent Response Groups: Organizing in Conditions of Extreme Equivocality,ACADEMY OF MANAGEMENT JOURNAL,A+,强入库论文锚点,2026,10.5465/amj.2024.0486,https://doi.org/10.5465/amj.2024.0486,https://doi.org/10.5465/amj.2024.0486,"openalex,crossref",https://doi.org/10.5465/amj.2024.0486,Ricardo Coelho Da Silva,"[""Ricardo Coêlho Silva""]","[{""name"": ""Ricardo Coelho Da Silva"", ""orcid"": """", ""position"": ""first"", ""is_corresponding"": false, ""affiliations"": [""Stockholm School of Economics""]}, {""name"": ""Leid Zejnilović"", ""orcid"": """", ""position"": """", ""is_corresponding"": false, ""affiliations"": [""Nova School of Business and Economics""]}, {""name"": ""Marco Berti"", ""orcid"": ""https://orcid.org/0000-0002-0519-8824"", ""position"": """", ""is_corresponding"": false, ""affiliations"": [""Nova School of Business and Economics""]}, {""name"": ""Miguel Pina e Cunha"", ""orcid"": """", ""position"": """", ""is_corresponding"": false, ""affiliations"": [""Nova School of Business and Economics""]}, {""name"": ""Pedro Oliveira"", ""orcid"": """", ""position"": """", ""is_corresponding"": false, ""affiliations"": [""Nova School of Business and Economics and Copenhagen Business School""]}]","[""Stockholm School of Economics"", ""Nova School of Business and Economics"", ""Nova School of Business and Economics and Copenhagen Business School""]",2026-05-23 03:39:41,2026-05-23 03:39:41
1085,CEO Regulatory Focus as an Interpretive Frame: An Empirical Examination of Investor Perceptions in the Context of Earning Deviations,ACADEMY OF MANAGEMENT JOURNAL,A+,强入库论文锚点,2026,10.5465/amj.2023.0896,https://doi.org/10.5465/amj.2023.0896,https://doi.org/10.5465/amj.2023.0896,"openalex,crossref",https://doi.org/10.5465/amj.2023.0896,Srikanth Paruchuri,"[""Srikanth Paruchuri""]","[{""name"": ""Srikanth Paruchuri"", ""orcid"": """", ""position"": ""first"", ""is_corresponding"": false, ""affiliations"": [""Texas A&M University""]}, {""name"": ""Joel L. Andrus"", ""orcid"": """", ""position"": """", ""is_corresponding"": false, ""affiliations"": [""University of Arkansas""]}, {""name"": ""David W. Sullivan"", ""orcid"": ""https://orcid.org/0000-0002-0949-9392"", ""position"": """", ""is_corresponding"": false, ""affiliations"": [""University of New South Wales""]}]","[""Texas A&M University"", ""University of Arkansas"", ""University of New South Wales""]",2026-05-23 03:39:41,2026-05-23 03:39:41
1072,"Constructing Agency Under Persistent Precarity: Shame, Anger, and Compassion in the Self-Narratives of Thai Sex Workers",ACADEMY OF MANAGEMENT JOURNAL,A+,强入库论文锚点,2026,10.5465/amj.2023.1415,https://doi.org/10.5465/amj.2023.1415,https://doi.org/10.5465/amj.2023.1415,"openalex,crossref",https://doi.org/10.5465/amj.2023.1415,Hee-Chan Song,"[""Hee-Chan Song""]","[{""name"": ""Hee-Chan Song"", ""orcid"": """", ""position"": ""first"", ""is_corresponding"": false, ""affiliations"": [""Korea University and Chulalongkorn University""]}, {""name"": ""Winnie Y. Jiang"", ""orcid"": ""https://orcid.org/0000-0003-0385-0978"", ""position"": """", ""is_corresponding"": false, ""affiliations"": [""INSEAD""]}]","[""Korea University and Chulalongkorn University"", ""INSEAD""]",2026-05-23 03:39:41,2026-05-23 03:39:41
1120,Deeply Rooted and Versatile? Knowledge Scouts and External Knowledge Integration in Multidivisional Firms,ACADEMY OF MANAGEMENT JOURNAL,A+,强入库论文锚点,2026,10.5465/amj.2024.0276,https://doi.org/10.5465/amj.2024.0276,https://doi.org/10.5465/amj.2024.0276,crossref,https://doi.org/10.5465/amj.2024.0276,Benoit Decreton,[],"[{""name"": ""Benoit Decreton"", ""orcid"": ""https://orcid.org/0000-0002-0753-7877"", ""position"": ""first"", ""is_corresponding"": false, ""affiliations"": [""Universidade Nova de Lisboa""]}, {""name"": ""Felipe Monteiro"", ""orcid"": ""https://orcid.org/0000-0003-4034-6084"", ""position"": """", ""is_corresponding"": false, ""affiliations"": [""INSEAD""]}, {""name"": ""Francisco Polidoro"", ""orcid"": ""https://orcid.org/0000-0002-8131-3740"", ""position"": """", ""is_corresponding"": false, ""affiliations"": [""The University of Texas at Austin""]}]","[""Universidade Nova de Lisboa"", ""INSEAD"", ""The University of Texas at Austin""]",2026-05-23 03:39:41,2026-05-23 03:39:41
1071,Dynamic Demands versus Durable Skills: Career Dilemmas in Pharmaceutical R&amp;D,ACADEMY OF MANAGEMENT JOURNAL,A+,强入库论文锚点,2026,10.5465/amj.2024.0338,https://doi.org/10.5465/amj.2024.0338,https://doi.org/10.5465/amj.2024.0338,"openalex,crossref",https://doi.org/10.5465/amj.2024.0338,Shinjinee Chattopadhyay,"[""Shinjinee Chattopadhyay""]","[{""name"": ""Shinjinee Chattopadhyay"", ""orcid"": """", ""position"": ""first"", ""is_corresponding"": false, ""affiliations"": [""University of Illinois at Urbana Champaign""]}, {""name"": ""Shinjae Won"", ""orcid"": """", ""position"": """", ""is_corresponding"": false, ""affiliations"": [""Ewha Womans University""]}, {""name"": ""Matthew Bidwell"", ""orcid"": """", ""position"": """", ""is_corresponding"": false, ""affiliations"": [""University of Pennsylvania""]}]","[""University of Illinois at Urbana Champaign"", ""Ewha Womans University"", ""University of Pennsylvania""]",2026-05-23 03:39:41,2026-05-23 03:39:41
