name,author_role,paper_id,title,journal,achievement_level,year,doi,paper_url,source,affiliations,is_likely_chinese_name,chinese_name_score,name_filter_reason
Ruixiang Song,first_author,1138,Anticipatory Impression Management for Potential Adverse Events: Positive Framing in the Wake of Short Seller Attacks on a Competitor,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2023.0914,https://doi.org/10.5465/amj.2023.0914,crossref,University of Tennessee,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length"
Hee-Chan Song,first_author,1072,"Constructing Agency Under Persistent Precarity: Shame, Anger, and Compassion in the Self-Narratives of Thai Sex Workers",ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2023.1415,https://doi.org/10.5465/amj.2023.1415,"openalex,crossref",Korea University and Chulalongkorn University,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length"
Ray Tsai Fang,first_author,1086,Political Segregation in the Labor Market and the Persistence of Pay Gaps,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2023.0371,https://doi.org/10.5465/amj.2023.0371,"openalex,crossref",University of Washington at Tacoma,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length"
Ray Fang,corresponding_author,1086,Political Segregation in the Labor Market and the Persistence of Pay Gaps,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2023.0371,https://doi.org/10.5465/amj.2023.0371,"openalex,crossref",University of Washington at Tacoma; Boise State University; Oklahoma State University; University of Texas at San Antonio,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length"
Chen Zhang,first_author,1061,Time the Surge: Theorizing and Examining Team Pacing in Multiple-Membership Contexts,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2024.0522,https://doi.org/10.5465/amj.2024.0522,"openalex,crossref",Tsinghua University,0,0.65,"chinese_surname,chinese_context,person_name_length"
Ruolian Fang,first_author,1079,Understanding Why and When Coworkers Undermine Employees Who Have Friends in High Places,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2022.1306,https://doi.org/10.5465/amj.2022.1306,"openalex,crossref",University of Western Australia,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length"
Ann C. Peng,first_author,1141,When Dirty Work Inspires: The Joint Effect of Work Dirtiness and Perceived Stigma on Pro-Organizational Behavior,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2024.0108,https://doi.org/10.5465/amj.2024.0108,crossref,University of Missouri,1,0.8,"chinese_surname,pinyin_given_name_shape,initial_plus_pinyin,person_name_length"
Feng Qiu,first_author,1082,When the Moon is Jealous of the Stars: Implications of Informal Leadership for Supervisor Downward Jealousy and Their Treatment of Other Subordinates,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2023.0646,https://doi.org/10.5465/amj.2023.0646,"openalex,crossref",University of Massachusetts Amherst,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length"
Wei Jee Ong,first_author,1114,Who Avoids Punishment? How Discretion and Psychopathy Shape Leaders’ Responses to Misconduct,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2024.0229,https://doi.org/10.5465/amj.2024.0229,crossref,The Hong Kong University of Science and Technology and National University of Singapore,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length"
Morgan X. Yang,first_author,1168,Acting to Know: Extending Vorholzer and Brattström’s Theory of Moral Ambiguity in Entrepreneurial Action through Externalized Moral Resolution,ACADEMY OF MANAGEMENT REVIEW,A+,2026,10.5465/amr.2025.1031,https://doi.org/10.5465/amr.2025.1031,"openalex,crossref",The Hang Seng University of Hong Kong,1,0.8,"chinese_surname,pinyin_given_name_shape,initial_plus_pinyin,person_name_length"
