name,affiliations,last_5_year_total,first_author_total,corresponding_author_total,top_total,a_plus_total,a_total,a1_total,a2_total,level_counts_json,paper_links,paper_titles,journals,years,author_roles,is_likely_chinese_name,chinese_name_score,name_filter_reason,review_status
Kun Wang,"State Key Laboratory of Plant Environmental Resilience, College of Biological Sciences, Frontiers Science Center for Molecular Design Breeding, China Agricultural University, Beijing, China.; School of Interdisciplinary Life Sciences, China Agricultural University, Beijing, China.; Hong Kong Polytechnic University; University of International Business and Economics; HEC Montréal; University of Electronic Science and Technology of China",2,1,1,1,1,0,1,0,"{""A1"": 1, ""TOP"": 1}",https://doi.org/10.1126/science.aeb1752 | https://doi.org/10.1016/j.trb.2026.103482,FERONIA orchestrates plasma membrane nanoclusters for plant thermotolerance | Truck vs high-speed rail express delivery: The social welfare and environmental implications,SCIENCE | TRANSPORTATION RESEARCH PART B-METHODOLOGICAL,2026,first_author | corresponding_author,1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length",strong_candidate
Haimei Zheng,"Lawrence Berkeley National Laboratory; University of California, Berkeley",1,0,1,1,1,0,0,0,"{""TOP"": 1}",https://doi.org/10.1126/science.aed4488,A molecular pathway to corrosion-resistant printable copper,SCIENCE,2026,corresponding_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",strong_candidate
J Zhang,"University of Maryland, College Park",1,1,0,1,1,0,0,0,"{""TOP"": 1}",https://doi.org/10.1126/science.aed4488,A molecular pathway to corrosion-resistant printable copper,SCIENCE,2026,first_author,0,0.6,"chinese_surname,initial_plus_pinyin,person_name_length",needs_review
Kaige Chen,University of Wisconsin–Madison,1,1,0,1,1,0,0,0,"{""TOP"": 1}",https://doi.org/10.1126/science.aeh1690,Scaffolds toughen bacteria-based therapy,SCIENCE,2026,first_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",strong_candidate
Li Dai,Huazhong Agricultural University,1,1,0,1,1,0,0,0,"{""TOP"": 1}",https://doi.org/10.1126/science.aeh5698,Fertilizer shocks put food systems at risk,SCIENCE,2026,first_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",strong_candidate
Liangbing Hu,"Yale University; University of Maryland, College Park",1,0,1,1,1,0,0,0,"{""TOP"": 1}",https://doi.org/10.1126/science.aed4488,A molecular pathway to corrosion-resistant printable copper,SCIENCE,2026,corresponding_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",strong_candidate
Qikun Feng,"University of Maryland, College Park",1,0,1,1,1,0,0,0,"{""TOP"": 1}",https://doi.org/10.1126/science.aed4488,A molecular pathway to corrosion-resistant printable copper,SCIENCE,2026,corresponding_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",strong_candidate
Qiubo Zhang,"Lawrence Berkeley National Laboratory; University of California, Berkeley",1,0,1,1,1,0,0,0,"{""TOP"": 1}",https://doi.org/10.1126/science.aed4488,A molecular pathway to corrosion-resistant printable copper,SCIENCE,2026,corresponding_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",strong_candidate
Shenqiang Ren,"University of Maryland, College Park",1,0,1,1,1,0,0,0,"{""TOP"": 1}",https://doi.org/10.1126/science.aed4488,A molecular pathway to corrosion-resistant printable copper,SCIENCE,2026,corresponding_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",strong_candidate
Wei Zhang,Utah State University,1,1,0,1,1,0,0,0,"{""TOP"": 1}",https://doi.org/10.1038/d41586-026-01323-z,Cities affect small and large storms differently,NATURE,2026,first_author,0,0.5,"chinese_surname,person_name_length",needs_review
Yu Zheng,"Tsung-Dao Lee Institute, School of Physics and Astronomy, and State Key Laboratory of Micro-nano Engineering Science, Shanghai Jiao Tong University, Shanghai, China.",1,1,0,1,1,0,0,0,"{""TOP"": 1}",https://doi.org/10.1126/science.ads0189,Observation of quantum vortex core fractionalization and skyrmion formation in a superconductor,SCIENCE,2026,first_author,0,0.65,"chinese_surname,chinese_context,person_name_length",needs_review
Hyewon Ma,Indiana University Bloomington,2,2,0,0,2,0,0,0,"{""A+"": 2}",https://doi.org/10.1057/s41267-025-00821-y,"Third-country MNEs, trade wars, and competitive opportunities: a real-options perspective",JOURNAL OF INTERNATIONAL BUSINESS STUDIES,2026 | 2025,first_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",strong_candidate
Meng Xu,City University of Hong Kong; Academy of Mathematics and Systems Science; University of Chinese Academy of Sciences,2,2,0,0,2,0,0,0,"{""A+"": 2}",https://doi.org/10.1109/tpami.2026.3664855 | https://doi.org/10.1287/moor.2025.1055,A Generic Competitive-Cooperative Actor-Critic Framework for Deep Reinforcement Learning | A Riemannian Alternating Descent Ascent Algorithmic Framework for Nonconvex-Linear Minimax Problems on Riemannian Manifolds,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE | MATHEMATICS OF OPERATIONS RESEARCH,2026,first_author,1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length",strong_candidate
Qingqing Chen,"Organization, Strategy and International Management, Naveen Jindal Business School, University of Texas at Dallas, Richardson, USA; Bank of Canada, Ottawa, Canada; The University of Texas at Dallas; Bank of Canada",2,2,0,0,2,0,0,0,"{""A+"": 2}",https://doi.org/10.1057/s41267-026-00874-7 | https://doi.org/10.1057/s41267-026-00856-9,Correction: Techno-nationalism’s paradox in international standard setting | Techno-nationalism’s paradox in international standard setting,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,2026,first_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",strong_candidate
Wei Jee Ong,The Hong Kong University of Science and Technology and National University of Singapore; National University of Singapore; Hong Kong University of Science and Technology,2,2,0,0,2,0,0,0,"{""A+"": 2}",https://doi.org/10.5465/amj.2024.0229,Who Avoids Punishment? How Discretion and Psychopathy Shape Leaders’ Responses to Misconduct,ACADEMY OF MANAGEMENT JOURNAL,2026 | 2025,first_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",strong_candidate
Xiaohui Zhang,"Sheldon B. Lubar College of Business, University of Wisconsin–Milwaukee Milwaukee, WI, U.S.A.; University of Wisconsin–Milwaukee",2,2,0,0,2,0,0,0,"{""A+"": 2}",https://doi.org/10.25300/misq/2025/18108,Social Media Moderation and Content Generation: Evidence From User Bans,MIS QUARTERLY,2026 | 2025,first_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",strong_candidate
Yinuo Tang,Peking University; Indiana University Bloomington; Hong Kong University of Science and Technology; University of Hong Kong; Chinese University of Hong Kong; Peking University; Institute of Economic Development; Indiana University Bloomington; Nanchang University,2,2,0,0,2,0,0,0,"{""A+"": 2}",https://doi.org/10.1057/s41267-025-00836-5 | https://doi.org/10.1057/s41267-025-00825-8,Global meets local: community political ideology and Chinese cross-border M&amp;As in the U.S. | Digital institutions and virtual involvement of born-digital firms,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,2026 | 2025,first_author,1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length",strong_candidate
Yuan Jin,"Rawls College of Business, Texas Tech University Lubbock, TX, U.S.A.; Texas Tech University",2,2,0,0,2,0,0,0,"{""A+"": 2}",https://doi.org/10.25300/misq/2025/17751,The Curse of Experience in Creative Crowdsourcing Contests and Contest Searches as a Remedy,MIS QUARTERLY,2026 | 2025,first_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",strong_candidate
Shukai Li,"Northwestern University, Evanston, Illinois 60208; Beijing Jiaotong University; University of Leeds; Beijing Jiaotong University",3,1,2,0,1,0,1,1,"{""A+"": 1, ""A1"": 1, ""A2"": 1}",https://doi.org/10.1287/moor.2024.0468 | https://doi.org/10.1016/j.trb.2026.103432 | https://doi.org/10.1016/j.trc.2026.105690,A New Finite Approximation Method for Evaluating Steady-State Performance of a Continuous-State Markov Chain with an Application to Queues with Customer Abandonment | Coordinating transfers between bus and metro train in real time: A logic-based branch-and-bound method | Human-like hierarchical decision-making for real-time train regulation strategies in urban rail transit lines,MATHEMATICS OF OPERATIONS RESEARCH | TRANSPORTATION RESEARCH PART B-METHODOLOGICAL | TRANSPORTATION RESEARCH PART C-EMERGING TECHNOLOGIES,2026,first_author | corresponding_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",strong_candidate
Bo Li,"School of Mathematics and Key Laboratory of Pure Mathematics and Combinatorics, Nankai University, Tianjin 300071, China; Nanjing University of Finance and Economics",2,2,0,0,1,0,0,1,"{""A+"": 1, ""A2"": 1}",https://doi.org/10.1287/moor.2024.0855 | https://doi.org/10.1016/j.omega.2026.103566,Single-Server Queues with State-Dependent Hawkes Arrivals | Modeling of portfolio optimization with returns uncertainty and cross-efficiency evaluation,MATHEMATICS OF OPERATIONS RESEARCH | OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE,2026,first_author,1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length",strong_candidate
