id,person_id,related_table,related_id,issue_type,severity,message,source_url,status,created_at,resolved_at
1,,pages,2,llm_used,low,Page marked for future LLM extraction: likely_profile_with_fewer_than_3_useful_fields,http://www.princeton.edu/aos/phd_program/,open,2026-05-20 08:55:14,
2,,pages,3,llm_used,low,Page marked for future LLM extraction: likely_profile_with_fewer_than_3_useful_fields,http://www.princeton.edu/ihum/,open,2026-05-20 08:55:14,
3,,pages,4,llm_used,low,Page marked for future LLM extraction: likely_profile_with_fewer_than_3_useful_fields,https://materials.princeton.edu/education/jointphd,open,2026-05-20 08:55:14,
4,1,pages,7,low_confidence,medium,HTML extraction confidence below threshold: 0.33,http://www.tc.columbia.edu/faculty/yh49/,open,2026-05-20 10:53:04,
5,2,pages,7,low_confidence,medium,HTML extraction confidence below threshold: 0.33,http://www.tc.columbia.edu/faculty/mw3471/,open,2026-05-20 10:53:04,
6,3,pages,7,low_confidence,medium,HTML extraction confidence below threshold: 0.33,http://www.tc.columbia.edu/faculty/jg2899/,open,2026-05-20 10:53:04,
7,4,pages,7,low_confidence,medium,HTML extraction confidence below threshold: 0.33,http://www.tc.columbia.edu/faculty/zhh2/,open,2026-05-20 10:53:04,
8,5,pages,7,low_confidence,medium,HTML extraction confidence below threshold: 0.33,http://www.tc.columbia.edu/faculty/wz2769/,open,2026-05-20 10:53:04,
9,6,pages,7,low_confidence,medium,HTML extraction confidence below threshold: 0.22,http://www.tc.columbia.edu/faculty/yd2331/,open,2026-05-20 10:53:04,
10,7,pages,7,low_confidence,medium,HTML extraction confidence below threshold: 0.33,http://www.tc.columbia.edu/faculty/isl2126/,open,2026-05-20 10:53:04,
11,8,pages,7,low_confidence,medium,HTML extraction confidence below threshold: 0.33,http://www.tc.columbia.edu/faculty/dl2331/,open,2026-05-20 10:53:04,
12,9,pages,7,low_confidence,medium,HTML extraction confidence below threshold: 0.22,http://www.tc.columbia.edu/faculty/hc2158/,open,2026-05-20 10:53:04,
13,10,pages,7,low_confidence,medium,HTML extraction confidence below threshold: 0.33,http://www.tc.columbia.edu/faculty/al3288/,open,2026-05-20 10:53:04,
14,11,pages,7,low_confidence,medium,HTML extraction confidence below threshold: 0.33,http://www.tc.columbia.edu/faculty/scy2105/,open,2026-05-20 10:53:04,
15,12,pages,7,low_confidence,medium,HTML extraction confidence below threshold: 0.33,http://www.tc.columbia.edu/faculty/stl2129/,open,2026-05-20 10:53:04,
16,13,pages,7,low_confidence,medium,HTML extraction confidence below threshold: 0.22,http://www.tc.columbia.edu/faculty/rc3035/,open,2026-05-20 10:53:04,
17,14,pages,7,low_confidence,medium,HTML extraction confidence below threshold: 0.33,http://www.tc.columbia.edu/faculty/cl2388/,open,2026-05-20 10:53:04,
18,15,pages,7,name_filter_uncertain,medium,"Chinese-name score in review band: 0.5 (chinese_surname,person_name_length)",http://www.tc.columbia.edu/faculty/ld2238/,open,2026-05-20 10:53:04,
19,15,pages,7,low_confidence,medium,HTML extraction confidence below threshold: 0.33,http://www.tc.columbia.edu/faculty/ld2238/,open,2026-05-20 10:53:04,
20,16,pages,7,low_confidence,medium,HTML extraction confidence below threshold: 0.33,http://www.tc.columbia.edu/faculty/cyh2110/,open,2026-05-20 10:53:04,
21,17,pages,7,low_confidence,medium,HTML extraction confidence below threshold: 0.33,http://www.tc.columbia.edu/faculty/bhc2115/,open,2026-05-20 10:53:04,
22,18,pages,7,low_confidence,medium,HTML extraction confidence below threshold: 0.33,http://www.tc.columbia.edu/faculty/zw2281/,open,2026-05-20 10:53:04,
23,19,pages,7,low_confidence,medium,HTML extraction confidence below threshold: 0.22,http://www.tc.columbia.edu/faculty/cp3280/,open,2026-05-20 10:53:04,
24,20,pages,7,low_confidence,medium,HTML extraction confidence below threshold: 0.33,http://www.tc.columbia.edu/faculty/jg2902/,open,2026-05-20 10:53:04,
25,21,pages,7,low_confidence,medium,HTML extraction confidence below threshold: 0.44,http://www.tc.columbia.edu/faculty/ry2454/,open,2026-05-20 10:53:04,
26,22,pages,7,low_confidence,medium,HTML extraction confidence below threshold: 0.22,http://www.tc.columbia.edu/faculty/xdl2001/,open,2026-05-20 10:53:04,
27,23,pages,7,low_confidence,medium,HTML extraction confidence below threshold: 0.22,http://www.tc.columbia.edu/faculty/jjc2044/,open,2026-05-20 10:53:04,
